==== Start v4_show | batch_size=128, replay=50000 ====
ep    70 | fail    | score   1441.04 | last_reward -500.0 | loss  10.580 | eps 0.100 | steps   46 | start_dist 750.0 | crash_dist 614.2 | final_dist 614.2 | reason: collision | fails_since_last=71 | 1565 ms
ep    71 | fail    | score   1624.37 | last_reward -500.0 | loss  11.323 | eps 0.100 | steps   50 | start_dist 750.0 | crash_dist 602.7 | final_dist 602.7 | reason: collision | fails_since_last=72 | 1701 ms
ep    72 | fail    | score   1517.32 | last_reward -500.0 | loss  12.084 | eps 0.100 | steps   48 | start_dist 750.0 | crash_dist 608.6 | final_dist 608.6 | reason: collision | fails_since_last=73 | 1631 ms
ep    73 | fail    | score   1573.94 | last_reward -500.0 | loss  10.328 | eps 0.100 | steps   49 | start_dist 750.0 | crash_dist 605.2 | final_dist 605.2 | reason: collision | fails_since_last=74 | 1667 ms
ep    74 | fail    | score   1663.53 | last_reward -500.0 | loss  13.720 | eps 0.100 | steps   51 | start_dist 750.0 | crash_dist 599.8 | final_dist 599.8 | reason: collision | fails_since_last=75 | 1733 ms
ep    75 | fail    | score   1626.96 | last_reward -500.0 | loss  11.196 | eps 0.100 | steps   50 | start_dist 750.0 | crash_dist 602.8 | final_dist 602.8 | reason: collision | fails_since_last=76 | 1699 ms
ep    76 | fail    | score   1721.53 | last_reward -500.0 | loss  10.553 | eps 0.100 | steps   52 | start_dist 750.0 | crash_dist 596.4 | final_dist 596.4 | reason: collision | fails_since_last=77 | 1767 ms
ep    77 | fail    | score   1613.46 | last_reward -500.0 | loss  12.332 | eps 0.100 | steps   50 | start_dist 750.0 | crash_dist 602.8 | final_dist 602.8 | reason: collision | fails_since_last=78 | 1700 ms
ep    78 | fail    | score   1755.23 | last_reward -500.0 | loss  11.764 | eps 0.100 | steps   53 | start_dist 750.0 | crash_dist 594.3 | final_dist 594.3 | reason: collision | fails_since_last=79 | 1803 ms
ep    79 | fail    | score   1756.42 | last_reward -500.0 | loss  11.680 | eps 0.100 | steps   53 | start_dist 750.0 | crash_dist 593.8 | final_dist 593.8 | reason: collision | fails_since_last=80 | 1801 ms
ep    80 | fail    | score   1720.67 | last_reward -500.0 | loss  11.109 | eps 0.100 | steps   52 | start_dist 750.0 | crash_dist 596.7 | final_dist 596.7 | reason: collision | fails_since_last=81 | 1767 ms
ep    81 | fail    | score   1847.82 | last_reward -500.0 | loss  11.164 | eps 0.100 | steps   55 | start_dist 750.0 | crash_dist 588.9 | final_dist 588.9 | reason: collision | fails_since_last=82 | 1870 ms
ep    82 | fail    | score   1752.86 | last_reward -500.0 | loss   9.619 | eps 0.100 | steps   53 | start_dist 750.0 | crash_dist 593.7 | final_dist 593.7 | reason: collision | fails_since_last=83 | 1802 ms
ep    83 | fail    | score   1762.99 | last_reward -500.0 | loss  11.173 | eps 0.100 | steps   53 | start_dist 750.0 | crash_dist 593.6 | final_dist 593.6 | reason: collision | fails_since_last=84 | 1802 ms
ep    84 | fail    | score   1800.97 | last_reward -500.0 | loss  11.260 | eps 0.100 | steps   54 | start_dist 750.0 | crash_dist 591.2 | final_dist 591.2 | reason: collision | fails_since_last=85 | 1835 ms
ep    85 | fail    | score   1719.13 | last_reward -500.0 | loss  11.229 | eps 0.100 | steps   52 | start_dist 750.0 | crash_dist 596.6 | final_dist 596.6 | reason: collision | fails_since_last=86 | 1770 ms
ep    86 | fail    | score   1840.02 | last_reward -500.0 | loss  13.421 | eps 0.100 | steps   55 | start_dist 750.0 | crash_dist 588.2 | final_dist 588.2 | reason: collision | fails_since_last=87 | 1871 ms
ep    87 | fail    | score   1747.65 | last_reward -500.0 | loss  10.618 | eps 0.100 | steps   53 | start_dist 750.0 | crash_dist 594.1 | final_dist 594.1 | reason: collision | fails_since_last=88 | 1801 ms
ep    88 | fail    | score   1718.11 | last_reward -500.0 | loss  12.276 | eps 0.100 | steps   52 | start_dist 750.0 | crash_dist 597.0 | final_dist 597.0 | reason: collision | fails_since_last=89 | 1768 ms
ep    89 | fail    | score   1750.07 | last_reward -500.0 | loss  10.973 | eps 0.100 | steps   53 | start_dist 750.0 | crash_dist 594.2 | final_dist 594.2 | reason: collision | fails_since_last=90 | 1802 ms
ep    90 | fail    | score   1895.45 | last_reward -500.0 | loss  13.392 | eps 0.100 | steps   56 | start_dist 750.0 | crash_dist 585.5 | final_dist 585.5 | reason: collision | fails_since_last=91 | 1903 ms
ep    91 | fail    | score   1885.59 | last_reward -500.0 | loss  11.623 | eps 0.100 | steps   56 | start_dist 750.0 | crash_dist 585.3 | final_dist 585.3 | reason: collision | fails_since_last=92 | 1906 ms
ep    92 | fail    | score   1936.91 | last_reward -500.0 | loss  11.774 | eps 0.100 | steps   57 | start_dist 750.0 | crash_dist 583.2 | final_dist 583.2 | reason: collision | fails_since_last=93 | 1937 ms
ep    93 | fail    | score   1848.42 | last_reward -500.0 | loss  11.601 | eps 0.100 | steps   55 | start_dist 750.0 | crash_dist 588.0 | final_dist 588.0 | reason: collision | fails_since_last=94 | 1868 ms
ep    94 | fail    | score   1713.12 | last_reward -500.0 | loss  10.772 | eps 0.100 | steps   52 | start_dist 750.0 | crash_dist 596.8 | final_dist 596.8 | reason: collision | fails_since_last=95 | 1770 ms
ep    95 | fail    | score   1756.43 | last_reward -500.0 | loss  12.007 | eps 0.100 | steps   53 | start_dist 750.0 | crash_dist 593.5 | final_dist 593.5 | reason: collision | fails_since_last=96 | 1799 ms
ep    96 | fail    | score   1759.25 | last_reward -500.0 | loss  12.602 | eps 0.100 | steps   53 | start_dist 750.0 | crash_dist 593.7 | final_dist 593.7 | reason: collision | fails_since_last=97 | 1802 ms
ep    97 | fail    | score   1839.06 | last_reward -500.0 | loss  12.469 | eps 0.100 | steps   55 | start_dist 750.0 | crash_dist 588.3 | final_dist 588.3 | reason: collision | fails_since_last=98 | 1872 ms
ep    98 | fail    | score   1929.40 | last_reward -500.0 | loss  11.876 | eps 0.100 | steps   57 | start_dist 750.0 | crash_dist 582.4 | final_dist 582.4 | reason: collision | fails_since_last=99 | 1938 ms
ep    99 | fail    | score   1842.36 | last_reward -500.0 | loss  10.166 | eps 0.100 | steps   55 | start_dist 750.0 | crash_dist 588.1 | final_dist 588.1 | reason: collision | fails_since_last=100 | 1871 ms
ep   100 | fail    | score   1893.20 | last_reward -500.0 | loss  10.668 | eps 0.100 | steps   56 | start_dist 750.0 | crash_dist 585.1 | final_dist 585.1 | reason: collision | fails_since_last=101 | 1906 ms
ep   101 | fail    | score   1803.86 | last_reward -500.0 | loss  10.239 | eps 0.100 | steps   54 | start_dist 750.0 | crash_dist 590.7 | final_dist 590.7 | reason: collision | fails_since_last=102 | 1835 ms
ep   102 | fail    | score   1748.38 | last_reward -500.0 | loss  12.937 | eps 0.100 | steps   53 | start_dist 750.0 | crash_dist 593.7 | final_dist 593.7 | reason: collision | fails_since_last=103 | 1801 ms
ep   103 | fail    | score   1756.42 | last_reward -500.0 | loss  12.206 | eps 0.100 | steps   53 | start_dist 750.0 | crash_dist 593.3 | final_dist 593.3 | reason: collision | fails_since_last=104 | 1804 ms
ep   104 | fail    | score    506.43 | last_reward   47.1 | loss  11.019 | eps 0.100 | steps   11 | start_dist 750.0 | crash_dist N/A | final_dist 718.8 | reason: None | fails_since_last=105 | 491 ms
